Period,Institution,Catalogue,Throat,Latitude,Longitude,Zone,Population
1,iNat,72650306,3,28.94471,-109.255,A,1
0,MLZ,11294,1,28.7637,-109.635,A,1
0,MLZ,11295,2,28.7637,-109.635,A,1
1,iNat,11896468,1,28.76303,-109.635,A,1
1,iNat,67991251,1,28.36588,-109.422,A,1
1,iNat,39737243,3,27.52525,-109.245,A,2
1,iNat,42554570,1,27.48965,-109.772,A,2
1,iNat,42553665,4,27.48947,-109.772,A,2
1,iNat,37827883,1,27.26405,-107.913,A,2
1,iNat,37827882,1,27.26329,-107.913,A,2
1,iNat,41616098,5,27.25688,-107.912,A,2
1,iNat,6686243,4,27.10131,-108.717,A,2
1,iNat,36722983,1,27.09562,-108.709,A,2
1,iNat,36722972,1,27.09562,-108.709,A,2
1,iNat,11436742,3,27.05889,-108.678,A,2
1,iNat,3668445,1,27.0563,-108.681,A,2
1,iNat,11268727,1,27.05574,-108.684,A,2
1,iNat,11268729,4,27.05574,-108.684,A,2
1,iNat,11268732,1,27.05571,-108.683,A,2
1,iNat,11268726,1,27.05569,-108.684,A,2
1,iNat,11780398,1,27.05569,-108.684,A,2
1,iNat,12048005,1,27.05569,-108.683,A,2
1,iNat,11268725,2,27.05567,-108.684,A,2
1,iNat,11268724,4,27.05567,-108.684,A,2
1,iNat,12046257,4,27.04318,-108.734,A,2
1,iNat,12109089,4,27.02243,-108.74,A,2
0,WFVZ,1066,3,27.0202824,-108.618863,A,2
1,iNat,24643634,1,27.01757,-108.95,A,2
1,iNat,66727660,1,27.01682,-108.947,A,2
1,iNat,38714577,1,27.0163,-108.947,A,2
1,iNat,21025208,1,27.01537,-108.951,A,2
1,iNat,65449731,1,27.01503,-108.956,A,2
1,iNat,38325733,2,27.01203,-108.967,A,2
1,iNat,61902142,1,27.01151,-108.938,A,2
1,iNat,19566253,2,27.0107,-108.768,A,2
1,iNat,24807507,4,27.00424,-108.787,A,2
1,iNat,3667726,1,27.0033,-108.785,A,2
1,iNat,3667299,2,27.0033,-108.785,A,2
1,iNat,19478889,1,26.9993,-109.066,A,2
1,iNat,38837625,2,26.99801,-108.934,A,2
1,iNat,19566206,1,26.9824,-108.94,A,2
1,iNat,19566176,2,26.9824,-108.94,A,2
0,LACM,29779,2,26.9669543,-108.700534,A,2
1,iNat,747154,3,26.96408,-108.892,A,2
1,iNat,11441787,4,26.93927,-108.673,A,2
1,iNat,12063743,1,26.9387,-108.672,A,2
1,iNat,11821683,1,26.92646,-108.712,A,2
1,iNat,12109086,2,26.91717,-108.688,A,2
0,MLZ,11293,2,26.90293,-108.695,A,2
1,iNat,39103255,3,26.86334,-109.081,A,2
1,iNat,82889335,2,26.56936,-108.263,A,2
0,MLZ,11436,3,26.42985,-108.218,A,2
1,iNat,47305279,1,26.06134,-108.318,B,3
0,WFVZ,3954,1,25.6086701,-109.055535,B,3
0,MLZ,17387,2,25.36541,-107.55,B,3
0,MLZ,17388,1,25.36541,-107.55,B,3
1,iNat,10252957,1,25.29658,-107.713,B,3
0,MLZ,20066,1,25.12395,-106.686,B,3
0,MLZ,9480,4,25.08207,-108.056,B,3
1,iNat,82495578,1,25.05412,-107.553,B,3
1,iNat,82730589,2,25.05307,-107.551,B,3
1,iNat,85937377,1,25.04498,-107.549,B,3
1,iNat,65241406,1,25.04286,-107.543,B,3
1,iNat,68973009,1,25.03925,-107.544,B,3
1,iNat,65241438,1,25.03575,-107.543,B,3
1,iNat,82730756,2,25.03163,-107.542,B,3
1,iNat,44339657,1,25.03158,-107.542,B,3
1,iNat,74851477,1,25.03152,-107.542,B,3
1,iNat,68664095,1,25.03141,-107.543,B,3
1,iNat,70202672,2,25.03112,-107.542,B,3
1,iNat,78500015,1,25.03002,-107.537,B,3
1,iNat,59609159,2,25.02328,-107.527,B,3
1,iNat,59609160,2,25.02327,-107.527,B,3
1,iNat,44673688,2,25.01941,-107.534,B,3
